排名,图,代码,名称,多因子等级,多因子评分,推荐等级,推荐评分,信号确认分,总市值(亿),流通市值(亿),PE(TTM),市净率,换手率%,筹码平均成本,筹码集中度%,90%成本区间宽度%,现价相对筹码成本%,筹码集中度分,成本贴合分,估值分,换手率分,市值分,估值日期,数据截至,最新收盘,前低日期,前低价,本次低日期,本次低价,DIF抬高,MACD柱抬高,当前DIF,当前DEA,当前MACD柱,站上MA20,站上MA60,距背离低点%,近5日/20日均量,最新成交额(亿),强度分位,原综合分,date_i,low_i,date_j,low_j,dif_i,dif_j,hist_i,hist_j,type,gap
1,603075_热威科技股份.png,603075,热威科技股份,A,91.21,A,98.63,6,81.08,8.54,24.87713184,3.96303021,11.18631942214244,22.05916016916641,59.475352021016114,34.897798385391,-7.113417542340228,90.2,67.1,92.6,73.3,100.0,2026-09-24,2026-09-23,20.49,2026-07-09,20.94,2026-09-16,19.04,0.5493413325479821,0.1051252662059035,0.1244932338524513,0.0559358192226545,0.1371148292595935,True,True,7.615546218487392,0.9292244435078184,0.97,0.98,205.82587803183932,2026-07-09,20.94,2026-09-16,19.04,-0.5218630733332112,0.0274782592147708,-0.0342477467211643,0.0708775194847392,DIF+柱体,49
2,603356_华菱精工.png,603356,华菱精工,A,85.01,A,93.36,5,22.81,22.81,-16.52279383,8.34584702,3.559547022648867,17.065766213860158,60.42532616310595,40.52404015446506,1.8413107398871589,90.6,100.0,20.0,99.8,74.3,2026-09-24,2026-09-23,17.38,2026-06-08,17.08,2026-09-04,16.51,0.4831062649314148,0.3240224118373088,0.172130678539613,0.1740359861373706,-0.0038106151955151,True,True,5.269533615990293,1.1391459089775506,0.82,0.977,199.4535127802155,2026-06-08,17.08,2026-09-04,16.51,-0.2156185970487918,0.267487667882623,-0.4425474698158134,-0.1185250579785046,DIF+柱体,63
3,000809_和展能源.png,000809,和展能源,A,82.18,A,89.18,4,28.54,28.54,-167.9245146,1.07140332,5.184269082724179,3.649909418991,69.07603281913805,30.49623683356195,-5.203126905091782,94.9,82.4,20.0,94.1,81.6,2026-09-24,2026-09-24,3.46,2026-06-10,3.64,2026-09-07,3.33,0.0304735438738634,0.0819310665294573,0.0205524171566926,0.0294647647388792,-0.0178246951643732,True,True,3.9039039039039007,1.4968570666524272,1.48,0.988,252.79030224270747,2026-06-10,3.64,2026-09-07,3.33,-0.0033106303709691,0.0271629135028943,-0.1107732673237988,-0.0288422007943415,DIF+柱体,62
4,603897_长城科技.png,603897,长城科技,A,80.53,A,85.7,5,61.33,61.33,19.17033627,2.58052692,2.2891391532261327,33.784037488180616,35.17063644308755,87.53389503498138,-10.135074854148264,52.3,50.8,94.6,95.8,100.0,2026-09-24,2026-09-23,30.36,2026-06-12,35.59,2026-09-11,28.18,3.1841932659375622,2.932445726352352,0.2285137274342474,0.1845823655894012,0.0878627236896925,True,True,7.735982966643008,0.7627656012693546,1.43,0.867,125.63676245134688,2026-06-12,35.59,2026-09-11,28.18,-3.1561155317704177,0.0280777341671445,-3.391050810391521,-0.458605084039169,DIF+柱体,64
5,300241_瑞丰光电.png,300241,瑞丰光电,A,80.25,A,83.44,4,40.96,34.32,46.14678554,1.74776869,1.9679558228365528,6.61337389520693,53.84500709450914,38.33167391650287,-10.484419997929583,83.6,49.3,64.2,94.6,93.5,2026-09-24,2026-09-23,5.92,2026-06-24,6.22,2026-09-11,5.55,0.2027850223131322,0.3048438120095762,0.0566177890237948,0.0465970490117841,0.0200414800240215,True,True,6.66666666666667,1.007657181326439,0.7,0.906,132.5691797207976,2026-06-24,6.22,2026-09-11,5.55,-0.1828727713657656,0.0199122509473665,-0.3389469795586286,-0.0341031675490524,DIF+柱体,57
6,002928_华夏航空.png,002928,华夏航空,A,79.61,A,89.34,6,79.25,79.25,18.92936609,2.03607274,2.1033453409698257,7.9737572245835935,35.15739661755848,63.67704543591106,-18.482594629792683,52.0,26.5,94.5,95.1,100.0,2026-09-24,2026-09-23,6.5,2026-06-22,6.82,2026-09-11,6.1,0.2785153242355669,0.1107772082191299,0.0174952485195563,-0.0055140714332083,0.0460186399055292,True,True,6.557377049180333,1.0479329127461536,1.75,0.848,123.0379602604992,2026-06-22,6.82,2026-09-11,6.1,-0.3348021967250041,-0.0562868724894372,-0.0995183826395784,0.0112588255795515,DIF+柱体,59
7,300099_尤洛卡.png,300099,尤洛卡,A,79.03,A,88.16,5,46.96,34.26,26.85552812,2.0305029,2.543640985574805,7.642937396369446,35.32173735578726,47.18012573900828,-16.65508076743003,52.7,28.3,91.6,96.7,97.9,2026-09-24,2026-09-24,6.37,2026-06-29,6.03,2026-09-16,5.98,0.5552192685797506,0.2411925172725418,0.0699645654161509,0.0537379169968478,0.0324532968386061,True,True,6.521739130434777,0.8747428891627355,0.87,0.902,131.9702566822618,2026-06-29,6.03,2026-09-16,5.98,-0.5326842411697257,0.0225350274100248,-0.2441936568413174,-0.0030011395687756,DIF+柱体,57
8,000065_北方国际.png,000065,北方国际,A,73.78,B,70.31,4,114.4,104.9,15.44943019,1.02757221,1.8345595556106795,11.96874092704691,44.828471628916525,49.14778756392728,-17.702287483380886,71.5,27.3,92.7,94.2,100.0,2026-09-24,2026-09-24,9.85,2026-06-11,10.743,2026-09-11,9.32,0.4412112243418704,0.0446701385546914,0.1041102051234315,0.0833647118755568,0.0414909864957492,True,True,5.68669527896995,1.05774352748958,1.92,0.719,111.01663042831778,2026-06-11,10.743,2026-09-11,9.32,-0.4091781110453709,0.0320331132964994,-0.1419104108307768,-0.0972402722760853,DIF+柱体,65
9,688128_中国电器研究院.png,688128,中国电器研究院,A,72.55,A,83.59,6,89.39,89.39,16.55507147,2.48503825,40.27105067985167,26.390799362023404,44.8210742128058,41.79701497886448,-15.576638303494816,71.1,29.4,93.3,20.0,100.0,2026-09-24,2026-09-23,22.28,2026-06-29,22.05,2026-09-14,20.95,0.4569683641964097,0.514823535542223,0.0129289892542061,-0.0665430783462469,0.1589441352009062,True,True,6.348448687350844,0.8652931846185317,36.29,0.766,115.43325741587398,2026-06-29,22.05,2026-09-14,20.95,-0.5950025660473663,-0.1380342018509566,-0.5628597158577711,-0.048036180315548,DIF+柱体,55
10,301172_君逸数码.png,301172,君逸数码,A,71.89,A,82.34,4,41.12,30.41,143.57127754,2.76167515,1.8857661125388028,20.512573281212536,39.17978366646625,54.885981163705736,-10.835175337304904,61.7,47.8,20.0,94.4,93.6,2026-09-24,2026-09-24,18.29,2026-07-09,17.962,2026-09-14,17.14,1.4646598828719846,0.5948867701221094,0.2126732961072015,0.1524881835965298,0.1203702250213433,True,True,6.709451575262536,0.642408376552742,0.57,0.891,128.59026902971294,2026-07-09,17.962,2026-09-14,17.14,-1.4549324319366228,0.0097274509353617,-0.6059799422815342,-0.0110931721594247,DIF+柱体,47
