排名,图,代码,名称,多因子等级,多因子评分,推荐等级,推荐评分,信号确认分,总市值(亿),流通市值(亿),PE(TTM),市净率,换手率%,筹码平均成本,筹码集中度%,90%成本区间宽度%,现价相对筹码成本%,筹码集中度分,成本贴合分,估值分,换手率分,市值分,估值日期,数据截至,最新收盘,前低日期,前低价,本次低日期,本次低价,DIF抬高,MACD柱抬高,当前DIF,当前DEA,当前MACD柱,站上MA20,站上MA60,距背离低点%,近5日/20日均量,最新成交额(亿),强度分位,原综合分,date_i,low_i,date_j,low_j,dif_i,dif_j,hist_i,hist_j,type,gap
1,603075_热威科技股份.png,603075,热威科技股份,A,86.36,A,89.07,4,79.68,8.4,24.44502285,3.89419346,6.35528977817192,22.127434388201817,58.49967716052513,35.035666844064814,-10.518320142179638,87.2,49.2,92.8,90.0,100.0,2026-09-18,2026-09-18,19.8,2026-07-09,20.94,2026-09-07,19.02,0.2594586395654268,0.1926441894444511,0.0548557763484787,0.0194170166061094,0.0708775194847384,True,False,4.100946372239753,1.190023515202833,0.53,0.987,257.7101118095244,2026-07-09,20.94,2026-09-07,19.02,-0.5218630733332077,-0.2624044337677809,-0.0342477467211654,0.1583964427232856,DIF+柱体,42
2,002516_旷达科技.png,002516,旷达科技,A,84.58,B,78.23,4,84.57,83.98,38.55151678,2.24114361,0.9706616085806232,5.979916205348048,74.09648349335788,26.440785846936393,-3.844806473081108,98.2,93.2,69.3,84.0,100.0,2026-09-18,2026-09-18,5.75,2026-06-05,5.68,2026-09-04,5.38,0.0284465939107905,0.1355668569068473,0.1042979855281025,0.1030121685911265,0.0025716338739519,True,True,6.877323420074352,0.7456818913778878,0.82,0.832,128.45415474596547,2026-06-05,5.68,2026-09-04,5.38,-0.0352274770782639,-0.0067808831674733,-0.1005522332280054,0.0350146236788418,DIF+柱体,64
3,300504_天邑股份.png,300504,天邑股份,A,83.68,A,95.0,5,48.32,39.27,-678.30867663,2.17878834,4.004654901040124,16.486430057932562,58.86646863346464,33.9967443295115,8.149550493018754,88.5,59.4,20.0,98.2,98.9,2026-09-18,2026-09-18,17.83,2026-06-12,16.85,2026-09-11,16.62,0.5312538524686445,0.4783800352422677,0.5368882764453318,0.5588917182544418,-0.0440068836182201,True,True,7.2803850782189965,0.8732139536058449,1.57,1.0,2133.496058746953,2026-06-12,16.85,2026-09-11,16.62,-0.0166330210085661,0.5146208314600784,-0.6218836215656897,-0.1435035863234219,DIF+柱体,64
4,300241_瑞丰光电.png,300241,瑞丰光电,A,83.22,A,91.33,6,42.71,35.79,48.11585115,1.82234531,2.6405234334717895,6.615831859944895,53.30695051831184,38.38365025034913,-9.913067227654082,76.5,51.8,62.9,97.0,94.8,2026-09-18,2026-09-18,5.96,2026-06-24,6.22,2026-09-11,5.55,0.2027850223131304,0.3048438120095764,0.0457714301017038,0.0374096262045455,0.0167236077943164,True,True,7.38738738738739,0.9244656781631214,0.94,0.876,133.494603077257,2026-06-24,6.22,2026-09-11,5.55,-0.1828727713657638,0.0199122509473665,-0.3389469795586293,-0.0341031675490528,DIF+柱体,57
5,000809_和展能源.png,000809,和展能源,A,82.11,A,88.76,4,29.45,29.45,-173.26315523,1.10546527,3.257417995075756,3.649006286334792,67.80613659981569,31.01288022906551,-5.45371179764893,92.9,80.4,20.0,99.2,82.7,2026-09-18,2026-09-16,3.45,2026-06-10,3.64,2026-09-07,3.33,0.0304735438738639,0.0819310665294582,0.0234440902640504,0.0312028501083905,-0.0155175196886801,True,True,3.603603603603607,1.3569458812080548,0.93,0.982,253.48262462415929,2026-06-10,3.64,2026-09-07,3.33,-0.00331063037097,0.0271629135028939,-0.1107732673237996,-0.0288422007943413,DIF+柱体,62
6,002076_星光股份.png,002076,星光股份,A,80.86,A,84.73,4,23.62,22.21,-138.00498331,7.99161426,4.05040123018538,2.2214479580108515,69.9806502171752,34.405540592562986,-4.116592409067133,95.1,91.1,20.0,98.1,75.5,2026-09-18,2026-09-16,2.13,2026-06-26,2.14,2026-09-03,2.11,0.0632565852402082,0.1099630943279812,0.0046557794462116,0.0139357004315362,-0.0185598419706492,False,True,0.9478672985782,1.0705331734658212,0.9,0.925,144.1620386956384,2026-06-26,2.14,2026-09-03,2.11,-0.0524117789950673,0.0108448062451409,-0.1050771605943456,0.0048859337336355,DIF+柱体,49
7,301007_德迈仕.png,301007,德迈仕,A,80.78,A,95.66,6,49.87,49.21,116.19711692,7.62666231,1.207334208380796,35.16105230761836,45.79235466279179,50.072914234966845,-7.511300527959797,67.7,63.9,20.0,92.0,99.9,2026-09-18,2026-09-18,32.52,2026-06-11,31.6,2026-09-11,30.28,1.925682464579161,2.1140432911948337,0.7477090486100586,0.6446125439899831,0.2061930092401509,True,True,7.397622192866585,0.8305731833446123,0.59,0.938,150.98238911644384,2026-06-11,31.6,2026-09-11,30.28,-1.4967048929594284,0.4289775716197326,-1.951370718199427,0.1626725729954063,DIF+柱体,65
8,003007_直真科技.png,003007,直真科技,A,80.71,A,87.57,5,47.83,29.04,135.81107611,3.15363171,2.7752652217442426,42.769801317364845,55.99857143242837,45.7962276063465,-6.476067767563576,83.2,72.2,20.0,97.5,98.5,2026-09-18,2026-09-18,40.0,2026-06-11,37.75,2026-09-11,37.22,2.688544785643572,2.479958631601342,0.3760047515959144,0.4376637857959854,-0.123318068400142,True,True,7.4691026329930175,0.8780728870402735,0.81,0.894,135.83662926282946,2026-06-11,37.75,2026-09-11,37.22,-2.356050241372529,0.3324945442710429,-2.721126631751262,-0.2411680001499203,DIF+柱体,65
9,002263_大东南.png,002263,大东南,A,79.04,A,98.45,6,60.48,60.48,296.87013356,2.17301942,3.458225008812278,4.001204824352518,45.78385831632312,52.529349864469665,-18.52454090431278,67.3,26.5,20.0,99.9,100.0,2026-09-18,2026-09-16,3.26,2026-06-08,3.61,2026-09-04,3.12,0.14496158265686,0.0241135289914876,0.0460726873695147,0.0396555620978534,0.0128342505433225,True,True,4.487179487179477,1.2277444771803594,2.12,0.978,184.58157494570503,2026-06-08,3.61,2026-09-04,3.12,-0.1346656520823432,0.0102959305745167,-0.0087289185118106,0.015384610479677,DIF+柱体,63
10,002108_沧州明珠.png,002108,沧州明珠,A,78.87,A,79.47,4,72.21,72.18,35.68820163,1.4217987,1.3796798999670754,4.936235638579902,53.66544990698113,39.6540718544242,-10.052916329631756,77.4,51.2,71.2,92.6,100.0,2026-09-18,2026-09-16,4.44,2026-06-08,4.43,2026-09-07,4.29,0.2411660242739506,0.1807188150037125,0.0291562739188711,0.0256557417026475,0.0070010644324471,True,True,3.496503496503505,1.599605884717986,1.01,0.85,129.91908180024362,2026-06-08,4.43,2026-09-07,4.29,-0.2317432036326296,0.0094228206413209,-0.1936321611356053,-0.0129133461318928,DIF+柱体,64
