排名,图,代码,名称,多因子等级,多因子评分,推荐等级,推荐评分,信号确认分,总市值(亿),流通市值(亿),PE(TTM),市净率,换手率%,筹码平均成本,筹码集中度%,90%成本区间宽度%,现价相对筹码成本%,筹码集中度分,成本贴合分,估值分,换手率分,市值分,估值日期,数据截至,最新收盘,前低日期,前低价,本次低日期,本次低价,DIF抬高,MACD柱抬高,当前DIF,当前DEA,当前MACD柱,站上MA20,站上MA60,距背离低点%,近5日/20日均量,最新成交额(亿),强度分位,原综合分,date_i,low_i,date_j,low_j,dif_i,dif_j,hist_i,hist_j,type,gap
1,603075_热威科技股份.png,603075,热威科技股份,A,87.77,A,91.43,5,80.24,8.45,24.61786644,3.92172816,6.484060632771017,22.107123439104143,58.44306373204734,35.00071750254033,-9.576657247768717,87.2,53.2,92.7,89.6,100.0,2026-09-22,2026-09-21,19.99,2026-07-09,20.94,2026-09-07,19.02,0.2594586395654303,0.1926441894444401,0.06952142502303,0.0294378982894876,0.0801670534670848,True,False,5.099894847528911,0.9850419554906968,0.55,1.0,257.5422600934345,2026-07-09,20.94,2026-09-07,19.02,-0.5218630733332112,-0.2624044337677809,-0.0342477467211643,0.1583964427232758,DIF+柱体,42
2,003019_宸展光电.png,003019,宸展光电,A,85.06,A,92.86,6,49.97,48.83,28.64433713,2.93861289,2.183392553116892,31.994645357015,47.25062493247,61.4260378373468,-11.735230427212006,68.4,44.0,90.7,95.4,100.0,2026-09-22,2026-09-22,28.24,2026-06-15,30.31,2026-09-08,26.51,1.807199029178857,2.7754427599126927,0.6899817608204835,0.6637950007387323,0.0523735201635022,True,True,6.525839305922282,0.8566263423537648,1.07,0.959,154.92795814709362,2026-06-15,30.31,2026-09-08,26.51,-1.3024120784782909,0.5047869507005665,-2.723639244812082,0.0518035151006106,DIF+柱体,60
3,002076_星光股份.png,002076,星光股份,A,84.31,A,90.71,6,23.96,22.52,-139.94871547,8.1041722,2.5679915720488995,2.2215731215517662,71.0958039333646,34.15508117465806,-2.7716000411797115,94.9,100.0,20.0,96.7,75.9,2026-09-22,2026-09-22,2.16,2026-06-26,2.14,2026-09-03,2.11,0.0632565852402082,0.1099630943279805,0.0103391285064051,0.0105000619817939,-0.0003218669507776,True,True,2.36966824644551,1.085165174709113,0.58,0.929,142.88246293440784,2026-06-26,2.14,2026-09-03,2.11,-0.0524117789950673,0.0108448062451409,-0.1050771605943449,0.0048859337336356,DIF+柱体,49
4,603356_华菱精工.png,603356,华菱精工,A,83.18,A,90.36,5,22.79,22.79,-16.50348022,8.3360915,2.422078896055197,17.053073764933185,59.7463812437996,40.75736363475872,1.9757507632415685,89.8,100.0,20.0,96.2,74.3,2026-09-22,2026-09-21,17.39,2026-06-08,17.08,2026-09-04,16.51,0.4831062649314148,0.3240224118373088,0.140463714691684,0.1815948166546875,-0.0822622039260069,True,True,5.330102967898237,0.7952733352428277,0.56,0.985,199.43612118280487,2026-06-08,17.08,2026-09-04,16.51,-0.2156185970487918,0.267487667882623,-0.4425474698158134,-0.1185250579785046,DIF+柱体,63
5,002140_东华科技.png,002140,东华科技,A,82.73,A,94.29,6,67.12,67.01,12.41857482,1.37609816,1.0825864932025362,11.355995171177364,43.08165846681376,45.58993109390047,-16.519865876121752,61.2,28.5,91.2,91.5,100.0,2026-09-22,2026-09-22,9.48,2026-06-08,9.5,2026-09-07,9.08,0.5750855673653881,0.0379381531948183,0.069269532947942,0.0513786599377828,0.0357817460203184,True,True,4.405286343612339,1.052947525924382,0.73,0.98,191.9949989508352,2026-06-08,9.5,2026-09-07,9.08,-0.5416431350497994,0.0334424323155886,-0.0140466867658208,0.0238914664289974,DIF+柱体,64
6,000029_深深房Ａ.png,000029,深深房Ａ,A,82.35,A,88.93,5,225.2,198.48,-1936.04108818,6.30013129,1.489424219994168,23.646648217638862,59.46972203605372,40.20306418810915,-5.864037071454852,88.8,77.1,20.0,93.0,100.0,2026-09-22,2026-09-22,22.26,2026-06-08,21.865,2026-09-01,21.58,0.0466855274355602,0.8991945689390829,-0.1914369970955185,-0.1244607604038974,-0.1339524733832422,True,True,3.1510658016682265,1.3575624156436716,2.96,0.964,158.8623627342075,2026-06-08,21.865,2026-09-01,21.58,0.0299380008819838,0.076623528317544,-1.11113373796474,-0.2119391690256572,DIF+柱体,60
7,600449_宁夏建材.png,600449,宁夏建材,A,81.49,B,68.93,6,62.64,62.64,46.65385115,0.85085652,1.563633716787961,12.971823087130602,85.96997827524858,22.609068218598388,0.9881179538792972,98.5,100.0,63.8,93.2,100.0,2026-09-22,2026-09-22,13.1,2026-06-11,12.32,2026-09-01,12.21,0.1743339051402319,0.4308610725179403,0.1177922830751807,0.0400504964662952,0.1554835732177711,True,True,7.289107289107279,1.2008886427251455,0.98,0.617,109.02618180317924,2026-06-11,12.32,2026-09-01,12.21,-0.2262446953689689,-0.051910790228737,-0.4870431412253243,-0.0561820687073839,DIF+柱体,57
8,600736_苏州高新.png,600736,苏州高新,A,81.12,A,80.0,4,76.68,76.68,13.16890957,0.97470236,1.6658054508451865,7.389257481402232,53.31360301068199,51.36055425624001,-9.869157804254003,76.0,52.0,91.6,93.6,100.0,2026-09-22,2026-09-22,6.66,2026-06-02,6.842,2026-09-02,6.62,0.2025249394827009,0.5039997588913671,-0.0389535000999385,-0.0342757634578173,-0.0093554732842425,False,True,0.6042296072507558,0.7214550916058354,1.28,0.898,133.00528923963748,2026-06-02,6.842,2026-09-02,6.62,-0.1833566015058121,0.0191683379768887,-0.53871791643512,-0.0347181575437529,DIF+柱体,65
9,301106_骏成科技.png,301106,骏成科技,A,80.51,A,83.57,5,28.19,28.19,60.56268962,2.2349865,2.440389782738228,21.15090262413943,57.359055612389,46.56439093398226,-6.765208320265015,84.7,69.9,54.6,96.3,81.2,2026-09-22,2026-09-22,19.72,2026-06-12,19.23,2026-09-03,18.51,1.258281058505876,0.9905014623445956,0.0604350076617805,0.0857590268004147,-0.0506480382772684,True,True,6.537007023230671,0.6542428180385434,0.69,0.888,131.0217544215221,2026-06-12,19.23,2026-09-03,18.51,-1.0230945368157052,0.2351865216901707,-1.5016859843083377,-0.5111845219637421,DIF+柱体,58
10,300241_瑞丰光电.png,300241,瑞丰光电,A,79.87,A,83.93,5,42.61,35.7,48.00558776,1.81816918,2.250691936910902,6.6139058855708255,53.78840694867485,38.34418081732,-10.189227020013192,78.1,50.6,62.9,95.6,94.8,2026-09-22,2026-09-22,5.94,2026-06-24,6.22,2026-09-11,5.55,0.2027850223131322,0.3048438120095762,0.0570180133444946,0.0440918640087814,0.0258522986714264,True,True,7.027027027027037,1.028439286442427,0.8,0.893,132.91859334151488,2026-06-24,6.22,2026-09-11,5.55,-0.1828727713657656,0.0199122509473665,-0.3389469795586286,-0.0341031675490524,DIF+柱体,57
11,301007_德迈仕.png,301007,德迈仕,A,79.63,A,91.79,6,50.14,49.48,116.8402744,7.66887631,1.4540876804165863,35.09173440396028,46.28451901447215,49.921941690860585,-6.815663131459127,67.3,69.5,20.0,92.8,100.0,2026-09-22,2026-09-22,32.7,2026-06-11,31.6,2026-09-11,30.28,1.9256824645791648,2.114043291194816,0.7995159817636655,0.6956629667485941,0.2077060300301427,True,True,7.992073976221933,0.7055601438657254,0.72,0.944,150.79028987810287,2026-06-11,31.6,2026-09-11,30.28,-1.496704892959421,0.4289775716197432,-1.9513707181994175,0.1626725729953981,DIF+柱体,65
12,301026_浩通科技.png,301026,浩通科技,A,78.55,B,68.57,4,43.65,31.53,18.50226619,2.52168577,1.672594618103289,21.686606866070505,66.99401829927965,35.74794446902996,-9.160524181302998,92.3,55.0,94.3,93.6,95.6,2026-09-22,2026-09-22,19.7,2026-06-10,20.48,2026-09-02,19.57,0.2399375071434413,0.4354964744532321,-0.3062423714486861,-0.2244581194823269,-0.1635685039327183,False,True,0.6642820643842565,0.5881137684416373,0.53,0.735,118.14169834252732,2026-06-10,20.48,2026-09-02,19.57,-0.2120293933642507,0.0279081137791905,-0.8923592552042574,-0.4568627807510252,DIF+柱体,59
