代码,名称,多因子等级,多因子评分,推荐等级,推荐评分,信号确认分,总市值(亿),流通市值(亿),PE(TTM),市净率,换手率%,筹码平均成本,筹码集中度%,90%成本区间宽度%,现价相对筹码成本%,筹码集中度分,成本贴合分,估值分,换手率分,市值分,估值日期,数据截至,最新收盘,前低日期,前低价,本次低日期,本次低价,DIF抬高,MACD柱抬高,当前DIF,当前DEA,当前MACD柱,站上MA20,站上MA60,距背离低点%,近5日/20日均量,最新成交额(亿),强度分位,原综合分
603075,热威科技股份,A,86.02,A,86.46,4,80.24,8.45,24.61786644,3.92172816,5.9781751325602785,22.088722748623994,58.67104174687544,34.968476337462675,-9.727691243523108,89.7,52.6,92.7,91.3,100.0,2026-09-22,2026-09-22,19.94,2026-07-09,20.94,2026-09-07,19.02,0.2594586395654268,0.1926441894444511,0.0762307346680835,0.0387964655652127,0.0748685382057415,True,False,4.83701366982125,0.904854960282212,0.51,0.99,257.25134490903633
003019,宸展光电,A,85.28,A,92.63,6,49.97,48.83,28.64433713,2.93861289,2.183392553116892,31.994645357014996,47.25062493247,61.426037837346804,-11.735230427212006,70.6,44.0,90.7,95.4,100.0,2026-09-22,2026-09-22,28.24,2026-06-15,30.31,2026-09-08,26.51,1.8071990291788609,2.775442759912699,0.689981760820487,0.6637950007387361,0.0523735201635018,True,True,6.525839305922282,0.8566263423537648,1.07,0.956,154.92795814709297
002076,星光股份,A,84.28,A,90.57,6,23.96,22.52,-139.94871547,8.1041722,2.5679915720488995,2.2215731215517662,71.0958039333646,34.15508117465806,-2.7716000411797115,95.1,100.0,20.0,96.7,75.9,2026-09-22,2026-09-22,2.16,2026-06-26,2.14,2026-09-03,2.11,0.0632565852402082,0.1099630943279812,0.0103391285064047,0.0105000619817936,-0.0003218669507779,True,True,2.36966824644551,1.085165174709113,0.58,0.926,142.88246293440778
002140,东华科技,A,82.9,A,94.0,6,67.12,67.01,12.41857482,1.37609816,1.0825864932025362,11.355995171177364,43.08165846681376,45.58993109390047,-16.519865876121752,63.2,28.5,91.2,91.5,100.0,2026-09-22,2026-09-22,9.48,2026-06-08,9.5,2026-09-07,9.08,0.5750855673653863,0.0379381531948193,0.0692695329479438,0.051378659937785,0.0357817460203175,True,True,4.405286343612339,1.052947525924382,0.73,0.975,191.99499895084716
000029,深深房Ａ,A,82.52,A,88.68,5,225.2,198.48,-1936.04108818,6.30013129,1.489424219994168,23.646648217638862,59.46972203605372,40.20306418810915,-5.864037071454852,90.7,77.1,20.0,93.0,100.0,2026-09-22,2026-09-22,22.26,2026-06-08,21.865,2026-09-01,21.58,0.0466855274355531,0.8991945689390837,-0.1914369970955185,-0.1244607604038979,-0.1339524733832412,True,True,3.1510658016682265,1.3575624156436716,2.96,0.961,158.8623627341918
600449,宁夏建材,A,81.66,B,69.29,6,62.64,62.64,46.65385115,0.85085652,1.563633716787961,12.971823087130602,85.96997827524858,22.609068218598388,0.9881179538792972,98.5,100.0,63.8,93.2,100.0,2026-09-22,2026-09-22,13.1,2026-06-11,12.32,2026-09-01,12.21,0.1743339051402355,0.4308610725179411,0.1177922830751825,0.0400504964662985,0.1554835732177679,True,True,7.289107289107279,1.2008886427251455,0.98,0.623,109.02618180317938
600736,苏州高新,A,81.3,A,79.59,4,76.68,76.68,13.16890957,0.97470236,1.6658054508451863,7.389257481402232,53.31360301068199,51.36055425624001,-9.869157804254003,78.4,52.0,91.6,93.6,100.0,2026-09-22,2026-09-22,6.66,2026-06-02,6.842,2026-09-02,6.62,0.2025249394826991,0.5039997588913685,-0.0389535000999385,-0.0342757634578171,-0.0093554732842428,False,True,0.6042296072507558,0.7214550916058354,1.28,0.892,133.0052892396368
301106,骏成科技,A,80.66,A,83.19,5,28.19,28.19,60.56268962,2.2349865,2.440389782738228,21.150902624139423,57.359055612388985,46.56439093398229,-6.765208320264982,86.8,69.9,54.6,96.3,81.2,2026-09-22,2026-09-22,19.72,2026-06-12,19.23,2026-09-03,18.51,1.25828105850589,0.9905014623445972,0.0604350076617876,0.0857590268004231,-0.050648038277271,True,True,6.537007023230671,0.6542428180385434,0.69,0.882,131.02175442152273
300241,瑞丰光电,A,79.97,A,83.54,5,42.61,35.7,48.00558776,1.81816918,2.250691936910902,6.6139058855708255,53.78840694867485,38.344180817319995,-10.189227020013192,79.9,50.6,62.9,95.6,94.8,2026-09-22,2026-09-22,5.94,2026-06-24,6.22,2026-09-11,5.55,0.2027850223131304,0.3048438120095764,0.0570180133444981,0.044091864008783,0.0258522986714302,True,True,7.027027027027037,1.028439286442427,0.8,0.887,132.9185933415149
301007,德迈仕,A,79.89,A,91.6,6,50.14,49.48,116.8402744,7.66887631,1.4540876804165865,35.09173440396028,46.28451901447215,49.921941690860585,-6.815663131459127,69.6,69.5,20.0,92.8,100.0,2026-09-22,2026-09-22,32.7,2026-06-11,31.6,2026-09-11,30.28,1.925682464579161,2.1140432911948337,0.7995159817636655,0.6956629667485897,0.2077060300301514,True,True,7.992073976221933,0.7055601438657254,0.72,0.941,150.79028987810247
